Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,K. Irving|L. James|K. Love|J. Smith|T. Thompson,465:40:00,12.3,2.9,6.3,-0.001,5.7,11.8,0.043,0.025,0.9,1.6,-0.016,3,5.6,1.4,5.6,2.2,4.8,-0.3,0.9,-0.6,-3.6,-2.1
2,K. Irving|L. James|K. Love|T. Mozgov|J. Smith,250:25:00,-7.6,-3.7,-6.4,-0.008,-0.2,9.8,-0.143,-0.005,0,1.1,-0.051,-0.8,-0.8,1.1,-0.8,0.2,0.5,-2.2,-5.8,0.4,5.4,-0.5
3,M. Dellavedova|L. James|K. Love|J. Smith|T. Thompson,198:34:00,27.8,7.9,9.4,0.041,7.6,13.3,0.103,0.078,4.4,6.3,-0.019,5.8,11.5,4.9,11.5,5.6,11.5,6,1.5,-2.5,-2.2,-1.6
4,M. Dellavedova|L. James|K. Love|T. Mozgov|J. Smith,162:57:00,-0.2,-0.9,-8.5,0.034,2,3.5,0.023,0.051,-0.5,0.2,-0.029,-0.5,2.4,6.1,2.4,2.9,6.3,-1,-6.2,-1,5.6,-0.6
5,L. James|K. Love|T. Mozgov|J. Smith|M. Williams,153:55:00,2.3,0.6,-4.6,0.03,3.9,6.7,0.07,0.054,-2.9,0.1,-0.181,3.2,8.4,6.3,8.4,4.5,9.7,5,-5.2,0.1,6.1,0.7
6,M. Dellavedova|L. James|K. Love|I. Shumpert|T. Thompson,72:50:00,8.6,-1.1,-0.1,-0.013,-0.6,-2,0.01,-0.016,11.5,19.4,-0.093,8.6,15,1.2,15,5,10.8,-4.1,-2.9,0,-2,-5
7,M. Dellavedova|L. James|I. Shumpert|J. Smith|T. Thompson,60:41:00,9,5,5,0.031,0.1,8.7,-0.125,0.028,-1.1,-1.3,-0.003,1.8,2.9,-0.3,2.9,1.6,3.8,0.3,1.6,0.3,-3.5,4.3
8,M. Dellavedova|L. James|R. Jefferson|K. Love|T. Thompson,47:26:00,22.6,4.7,-3.7,0.069,5.9,5.5,0.155,0.103,7.4,12.1,-0.061,8.4,21.2,14.7,21.2,11.9,24.1,9.8,3.1,-4.7,5.1,0
9,K. Irving|K. Love|I. Shumpert|J. Smith|T. Thompson,47:24:00,7.4,-1.3,5.7,-0.044,4,8.8,0.042,-0.024,6,2.1,0.16,7.4,15.8,7.1,15.8,8.2,17.6,-1.6,1.8,-1.7,2.1,1.1
10,K. Irving|L. James|K. Love|I. Shumpert|T. Thompson,43:28:00,30.6,9.4,-7.1,0.147,-2.4,-5.9,-0.04,0.136,14.1,21.2,-0.036,3.5,12.4,12.9,12.4,8.2,17.1,-1.2,0,1.2,-1.2,-9.4
11,K. Irving|L. James|K. Love|I. Shumpert|J. Smith,41:29:00,3.8,3.8,1.3,0.035,2.5,16.5,-0.145,0.048,-6.3,-1.3,-0.188,-2.5,-8.8,-6.3,-8.8,-4.4,-10.1,13.9,0,1.3,1.3,-3.2
12,M. Dellavedova|L. James|K. Love|T. Thompson|M. Williams,40:13:00,50.9,14.8,-1.9,0.186,6,-2.1,0.268,0.223,15.2,15.1,0.076,4.5,24.7,26.1,24.7,14.9,33.3,9.3,-0.9,1.5,-0.7,-7.5
13,M. Dellavedova|K. Irving|L. James|K. Love|J. Smith,39:22:00,20.1,5.7,12.2,-0.003,12.8,22.4,0.222,0.068,-4,-6.2,0.024,0,0.7,0.9,0.7,-0.6,-1.5,8.9,1,-6,-0.2,-5.7
14,L. James|K. Love|J. Smith|T. Thompson|M. Williams,38:29:00,0,-1.3,-1.3,-0.008,8,10.7,0.162,0.04,-5.3,-6.7,0.019,5.3,11.5,1.3,11.5,3.3,8.2,10.7,-6.7,-1.3,10.7,3.3
15,L. James|R. Jefferson|K. Love|T. Mozgov|M. Williams,38:02:00,-35.2,-18,-8.4,-0.151,-2.5,7.5,-0.233,-0.16,3.2,7.5,-0.102,0.3,-5.3,-12,-5.3,-5.5,-11.4,-4.7,-2.9,-0.2,7.1,-1.4
16,M. Dellavedova|C. Frye|K. Irving|I. Shumpert|T. Thompson,36:24:00,-8.6,-3.4,0,-0.035,4.2,22.5,-0.08,-0.014,-6,-7.5,0.033,-0.1,0,0.6,0,0,0,-10.4,0,1.6,4.2,1.4
17,K. Irving|L. James|I. Shumpert|J. Smith|T. Thompson,35:35:00,-3,-6.9,7.5,-0.12,-4.9,4.9,-0.223,-0.152,15.8,12.1,0.202,5,8,0.3,8,3.5,7.2,-15.3,2.4,-4.4,-4.8,-5.6
18,M. Dellavedova|C. Frye|L. James|I. Shumpert|T. Thompson,35:19:00,43.1,18.1,2.8,0.188,12.5,11.1,0.278,0.255,-5.6,-13.9,0.135,0,8.7,13.9,8.7,6.9,13.9,16.7,0,0,2.8,1.4
19,M. Dellavedova|K. Irving|K. Love|I. Shumpert|T. Thompson,32:23:00,-8.1,-8.1,-2,-0.078,-1.2,4.8,-0.097,-0.083,9.4,14.6,-0.122,15.9,25.2,3.3,25.2,10.1,20.7,-7.1,-3.9,-3.8,5.9,0
20,M. Dellavedova|C. Frye|R. Jefferson|I. Shumpert|T. Thompson,31:02:00,-1.4,-6.3,-4.3,-0.053,7.2,14.7,0.052,-0.004,4.1,-0.4,0.171,0.2,1.9,4.8,1.9,3.3,8,-3.4,-3.6,1.5,4,1.7
