player,team_id,yr,prediction
"Allen,Tony",MEM,2015,0
"Antetokounmpo,Giannis",MIL,2015,0
"Arthur,Darrell",DEN,2015,0
"Barton,Will",TOT,2015,0
"Barton,Will",DEN,2015,0
"Beasley,Michael",MIA,2015,0
"Butler,Jimmy",CHI,2015,0
"Carter-Williams,Michael",TOT,2015,0
"Carter-Williams,Michael",PHI,2015,0
"Carter-Williams,Michael",MIL,2015,0
"Davies,Brandon",TOT,2015,0
"Davies,Brandon",PHI,2015,0
"Diaw,Boris",SAS,2015,0
"Dieng,Gorgui",MIN,2015,0
"Garnett,Kevin",TOT,2015,0
"Garnett,Kevin",BRK,2015,0
"Garnett,Kevin",MIN,2015,0
"Gasol,Marc",MEM,2015,0
"Gay,Rudy",SAC,2015,0
"Green,Draymond",GSW,2015,0
"Hilario,Nene",WAS,2015,0
"Johnson,James",TOR,2015,0
"Joseph,Cory",SAS,2015,0
"Lee,David",GSW,2015,0
"Leonard,Kawhi",SAS,2015,0
"Livingston,Shaun",GSW,2015,0
"Millsap,Paul",ATL,2015,0
"Morris,Markieff",PHO,2015,0
"Noel,Nerlens",PHI,2015,0
"O'Quinn,Kyle",ORL,2015,0
"Olynyk,Kelly",BOS,2015,0
"Pachulia,Zaza",MIL,2015,0
"Parker,Jabari",MIL,2015,0
"Sims,Henry",PHI,2015,0
"Smith,Jason",NYK,2015,0
"Smith,Josh",TOT,2015,0
"Smith,Josh",DET,2015,0
"Smith,Josh",HOU,2015,0
"Splitter,Tiago",SAS,2015,0
"Stephenson,Lance",CHO,2015,0
"Sullinger,Jared",BOS,2015,0
"Turner,Evan",BOS,2015,0
"Varejao,Anderson",CLE,2015,0
"West,David",IND,2015,0
"Wiggins,Andrew",MIN,2015,0
"Young,Thaddeus",TOT,2015,0
"Young,Thaddeus",MIN,2015,0
"Young,Thaddeus",BRK,2015,0
"Allen,Tony",MEM,2016,0
"Anderson,Kyle",SAS,2016,0
"Antetokounmpo,Giannis",MIL,2016,0
"Arthur,Darrell",DEN,2016,0
"Barton,Will",DEN,2016,0
"Beasley,Michael",HOU,2016,0
"Butler,Jimmy",CHI,2016,0
"Carter-Williams,Michael",MIL,2016,0
"Diaw,Boris",SAS,2016,0
"Dieng,Gorgui",MIN,2016,0
"Gasol,Marc",MEM,2016,0
"Gay,Rudy",SAC,2016,0
"Green,Draymond",GSW,2016,0
"Green,JaMychal",MEM,2016,0
"Hilario,Nene",WAS,2016,0
"Johnson,James",TOR,2016,0
"Jokic,Nikola",DEN,2016,0
"Joseph,Cory",TOR,2016,0
"Lee,David",TOT,2016,0
"Lee,David",BOS,2016,0
"Lee,David",DAL,2016,0
"Leonard,Kawhi",SAS,2016,0
"Livingston,Shaun",GSW,2016,0
"Millsap,Paul",ATL,2016,0
"Morris,Markieff",TOT,2016,0
"Morris,Markieff",PHO,2016,0
"Morris,Markieff",WAS,2016,0
"Noel,Nerlens",PHI,2016,0
"Olynyk,Kelly",BOS,2016,0
"Pachulia,Zaza",DAL,2016,0
"Parker,Jabari",MIL,2016,0
"Sims,Henry",BRK,2016,0
"Smith,Jason",ORL,2016,0
"Smith,Josh",TOT,2016,0
"Smith,Josh",HOU,2016,0
"Splitter,Tiago",ATL,2016,0
"Stephenson,Lance",TOT,2016,0
"Stephenson,Lance",LAC,2016,0
"Stephenson,Lance",MEM,2016,0
"Sullinger,Jared",BOS,2016,0
"Turner,Evan",BOS,2016,0
"West,David",SAS,2016,0
"Wiggins,Andrew",MIN,2016,0
"Young,Thaddeus",BRK,2016,0
"Augustin,D.J.",TOT,2015,1
"Augustin,D.J.",DET,2015,1
"Augustin,D.J.",OKC,2015,1
"Barea,J.J.",DAL,2015,1
"Bayless,Jerryd",MIL,2015,1
"Bledsoe,Eric",PHO,2015,1
"Brewer,Corey",TOT,2015,1
"Brewer,Corey",MIN,2015,1
"Brewer,Corey",HOU,2015,1
"Butler,Jimmy",CHI,2015,1
"Carter-Williams,Michael",TOT,2015,1
"Carter-Williams,Michael",PHI,2015,1
"Carter-Williams,Michael",MIL,2015,1
"Chalmers,Mario",MIA,2015,1
"Clarkson,Jordan",LAL,2015,1
"Cole,Norris",TOT,2015,1
"Cole,Norris",MIA,2015,1
"Cole,Norris",NOP,2015,1
"Collison,Darren",SAC,2015,1
"Conley,Mike",MEM,2015,1
"Curry,Stephen",GSW,2015,1
"Dragic,Goran",TOT,2015,1
"Dragic,Goran",PHO,2015,1
"Dragic,Goran",MIA,2015,1
"Ellis,Monta",DAL,2015,1
"Evans,Tyreke",NOP,2015,1
"Frazier,Tim",TOT,2015,1
"Frazier,Tim",PHI,2015,1
"Ginobili,Manu",SAS,2015,1
"Hayward,Gordon",UTA,2015,1
"Hill,George",IND,2015,1
"Holiday,Jrue",NOP,2015,1
"Irving,Kyrie",CLE,2015,1
"Jack,Jarrett",BRK,2015,1
"Jackson,Reggie",TOT,2015,1
"Jackson,Reggie",OKC,2015,1
"Jackson,Reggie",DET,2015,1
"Jennings,Brandon",DET,2015,1
"Knight,Brandon",TOT,2015,1
"Knight,Brandon",MIL,2015,1
"Knight,Brandon",PHO,2015,1
"Larkin,Shane",NYK,2015,1
"LaVine,Zach",MIN,2015,1
"Lawson,Ty",DEN,2015,1
"Lin,Jeremy",LAL,2015,1
"Lowry,Kyle",TOR,2015,1
"Mack,Shelvin",ATL,2015,1
"Middleton,Khris",MIL,2015,1
"Nelson,Jameer",TOT,2015,1
"Nelson,Jameer",DAL,2015,1
"Nelson,Jameer",BOS,2015,1
"Nelson,Jameer",DEN,2015,1
"Oladipo,Victor",ORL,2015,1
"Parker,Tony",SAS,2015,1
"Paul,Chris",LAC,2015,1
"Payton,Elfrid",ORL,2015,1
"Rondo,Rajon",TOT,2015,1
"Rondo,Rajon",BOS,2015,1
"Rondo,Rajon",DAL,2015,1
"Rose,Derrick",CHI,2015,1
"Rubio,Ricky",MIN,2015,1
"Schroder,Dennis",ATL,2015,1
"Sessions,Ramon",TOT,2015,1
"Sessions,Ramon",SAC,2015,1
"Sessions,Ramon",WAS,2015,1
"Shved,Alexey",TOT,2015,1
"Shved,Alexey",PHI,2015,1
"Shved,Alexey",NYK,2015,1
"Smith,Ish",TOT,2015,1
"Smith,Ish",PHI,2015,1
"Stuckey,Rodney",IND,2015,1
"Teague,Jeff",ATL,2015,1
"Turner,Evan",BOS,2015,1
"Udrih,Beno",MEM,2015,1
"Waiters,Dion",TOT,2015,1
"Waiters,Dion",CLE,2015,1
"Waiters,Dion",OKC,2015,1
"Walker,Kemba",CHO,2015,1
"Wall,John",WAS,2015,1
"Williams,Deron",BRK,2015,1
"Williams,Mo",TOT,2015,1
"Williams,Mo",MIN,2015,1
"Williams,Mo",CHO,2015,1
"Wroten,Tony",PHI,2015,1
"Augustin,D.J.",TOT,2016,1
"Augustin,D.J.",OKC,2016,1
"Augustin,D.J.",DEN,2016,1
"Barea,J.J.",DAL,2016,1
"Bayless,Jerryd",MIL,2016,1
"Bledsoe,Eric",PHO,2016,1
"Brewer,Corey",HOU,2016,1
"Butler,Jimmy",CHI,2016,1
"Carter-Williams,Michael",MIL,2016,1
"Chalmers,Mario",TOT,2016,1
"Chalmers,Mario",MIA,2016,1
"Chalmers,Mario",MEM,2016,1
"Clarkson,Jordan",LAL,2016,1
"Cole,Norris",NOP,2016,1
"Collison,Darren",SAC,2016,1
"Conley,Mike",MEM,2016,1
"Curry,Stephen",GSW,2016,1
"Dragic,Goran",MIA,2016,1
"Ellis,Monta",IND,2016,1
"Evans,Tyreke",NOP,2016,1
"Frazier,Tim",NOP,2016,1
"Ginobili,Manu",SAS,2016,1
"Goodwin,Archie",PHO,2016,1
"Grant,Jerian",NYK,2016,1
"Hayward,Gordon",UTA,2016,1
"Hill,George",IND,2016,1
"Holiday,Jrue",NOP,2016,1
"Irving,Kyrie",CLE,2016,1
"Jack,Jarrett",BRK,2016,1
"Jackson,Reggie",DET,2016,1
"Jennings,Brandon",TOT,2016,1
"Jennings,Brandon",DET,2016,1
"Jennings,Brandon",ORL,2016,1
"Knight,Brandon",PHO,2016,1
"Larkin,Shane",BRK,2016,1
"LaVine,Zach",MIN,2016,1
"Lawson,Ty",TOT,2016,1
"Lawson,Ty",HOU,2016,1
"Lawson,Ty",IND,2016,1
"Lin,Jeremy",CHO,2016,1
"Lowry,Kyle",TOR,2016,1
"Mack,Shelvin",TOT,2016,1
"Mack,Shelvin",UTA,2016,1
"McConnell,T.J.",PHI,2016,1
"Middleton,Khris",MIL,2016,1
"Mudiay,Emmanuel",DEN,2016,1
"Nelson,Jameer",DEN,2016,1
"Oladipo,Victor",ORL,2016,1
"Parker,Tony",SAS,2016,1
"Paul,Chris",LAC,2016,1
"Payton,Elfrid",ORL,2016,1
"Rondo,Rajon",SAC,2016,1
"Rose,Derrick",CHI,2016,1
"Rubio,Ricky",MIN,2016,1
"Russell,D'Angelo",LAL,2016,1
"Schroder,Dennis",ATL,2016,1
"Sessions,Ramon",WAS,2016,1
"Smith,Ish",TOT,2016,1
"Smith,Ish",NOP,2016,1
"Smith,Ish",PHI,2016,1
"Stuckey,Rodney",IND,2016,1
"Teague,Jeff",ATL,2016,1
"Turner,Evan",BOS,2016,1
"Udrih,Beno",TOT,2016,1
"Udrih,Beno",MIA,2016,1
"Waiters,Dion",OKC,2016,1
"Walker,Kemba",CHO,2016,1
"Wall,John",WAS,2016,1
"Williams,Deron",DAL,2016,1
"Williams,Mo",CLE,2016,1
"Wroten,Tony",PHI,2016,1
"Aldridge,LaMarcus",POR,2015,2
"Beasley,Michael",MIA,2015,2
"Boozer,Carlos",LAL,2015,2
"Cousins,DeMarcus",SAC,2015,2
"Davis,Anthony",NOP,2015,2
"Drummond,Andre",DET,2015,2
"Duncan,Tim",SAS,2015,2
"Favors,Derrick",UTA,2015,2
"Gasol,Marc",MEM,2015,2
"Gasol,Pau",CHI,2015,2
"Hickson,J.J.",DEN,2015,2
"Hill,Jordan",LAL,2015,2
"Horford,Al",ATL,2015,2
"Howard,Dwight",HOU,2015,2
"Jefferson,Al",CHO,2015,2
"Kanter,Enes",TOT,2015,2
"Kanter,Enes",UTA,2015,2
"Kanter,Enes",OKC,2015,2
"Landry,Carl",SAC,2015,2
"Lee,David",GSW,2015,2
"Lopez,Brook",BRK,2015,2
"Monroe,Greg",DET,2015,2
"Muhammad,Shabazz",MIN,2015,2
"Nurkic,Jusuf",DEN,2015,2
"Pekovic,Nikola",MIN,2015,2
"Randolph,Zach",MEM,2015,2
"Robinson,Thomas",PHI,2015,2
"Scola,Luis",IND,2015,2
"Speights,Marreese",GSW,2015,2
"Stoudemire,Amar'e",TOT,2015,2
"Stoudemire,Amar'e",NYK,2015,2
"Stoudemire,Amar'e",DAL,2015,2
"Vucevic,Nikola",ORL,2015,2
"Aldridge,LaMarcus",SAS,2016,2
"Beasley,Michael",HOU,2016,2
"Cousins,DeMarcus",SAC,2016,2
"Davis,Anthony",NOP,2016,2
"Drummond,Andre",DET,2016,2
"Duncan,Tim",SAS,2016,2
"Favors,Derrick",UTA,2016,2
"Gasol,Marc",MEM,2016,2
"Gasol,Pau",CHI,2016,2
"Hickson,J.J.",DEN,2016,2
"Hill,Jordan",IND,2016,2
