,Team,Features,Season
0,OKC,"[6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 14, 4, 5, 1, 6, 14, 4, 5, 1, 6, 11, 4, 5, 1, 6, 4, 5, 1]",2016
1,GSW,"[0, 2, 13, 10, 7, 0, 2, 13, 10, 7, 0, 2, 13, 10, 7, 0, 2, 13, 10, 7, 0, 2, 13, 10, 7, 0, 2, 13, 4, 7, 0, 2, 13, 4, 7, 0, 13, 10, 7, 0, 2, 13, 10, 7, 0, 2, 13, 10, 7]",2016
2,SAS,"[10, 11, 13, 13, 12, 10, 11, 13, 13, 12, 10, 11, 13, 13, 12, 10, 11, 13, 13, 12, 10, 11, 13, 13, 12, 10, 13, 13, 12, 10, 13, 13, 12, 10, 13, 13, 12, 10, 11, 2, 13, 10, 10, 11, 13, 13, 12]",2016
3,CLE,"[2, 1, 2, 7, 14, 2, 1, 2, 7, 14, 2, 1, 2, 7, 14, 2, 1, 2, 7, 14, 2, 1, 2, 7, 14, 2, 1, 2, 8, 14, 2, 1, 2, 8, 14, 2, 1, 2, 14, 2, 1, 2, 14, 2, 1, 2, 7, 14]",2016
4,LAC,"[10, 6, 5, 12, 0, 10, 6, 5, 12, 0, 10, 6, 5, 12, 0, 10, 6, 5, 12, 0, 10, 6, 5, 12, 0, 10, 6, 5, 12, 0, 4, 12, 5, 5, 14, 4, 10, 6, 12, 0, 10, 6, 5, 12, 0, 10, 6, 5, 12, 0]",2016
5,TOR,"[8, 13, 2, 6, 8, 13, 2, 6, 8, 13, 2, 6, 8, 13, 2, 6, 8, 13, 14, 4, 6, 8, 13, 14, 4, 6, 4, 2, 5, 3, 4, 2, 5, 3, 8, 13, 2, 6, 8, 13, 2, 6]",2016
6,CHO,"[0, 14, 2, 3, 14, 0, 14, 2, 3, 14, 0, 14, 2, 3, 14, 0, 14, 2, 3, 14, 0, 14, 2, 3, 14, 0, 14, 2, 3, 14, 0, 13, 14, 2, 3, 0, 6, 14, 2, 3, 0, 14, 2, 3, 14, 0, 14, 2, 3, 14]",2016
7,DET,"[8, 9, 5, 10, 12, 8, 9, 5, 10, 12, 8, 9, 5, 10, 12, 8, 9, 1, 10, 8, 9, 1, 10, 8, 9, 1, 10, 8, 9, 5, 1, 10, 8, 9, 5, 1, 10, 8, 9, 5, 1, 10, 8, 9, 5, 10, 12]",2016
8,POR,"[14, 5, 2, 0, 11, 14, 5, 2, 0, 11, 14, 5, 2, 0, 11, 5, 2, 0, 5, 2, 0, 5, 2, 0, 6, 5, 2, 0, 11, 6, 5, 2, 0, 11, 14, 5, 2, 0, 11, 14, 5, 2, 0, 11]",2016
9,ATL,"[0, 9, 10, 2, 5, 0, 9, 10, 2, 5, 0, 9, 10, 2, 5, 0, 9, 10, 2, 5, 0, 7, 9, 10, 2, 0, 7, 9, 10, 2, 0, 9, 8, 10, 2, 0, 9, 8, 10, 2, 0, 9, 10, 2, 5, 0, 9, 10, 2, 5]",2016
10,DAL,"[5, 0, 7, 8, 5, 0, 7, 8, 5, 0, 7, 8, 5, 0, 7, 8, 5, 7, 12, 5, 7, 12, 5, 0, 7, 8, 12, 5, 0, 7, 8, 12, 5, 0, 7, 8, 5, 0, 7, 8]",2016
11,BOS,"[5, 8, 14, 14, 0, 5, 8, 14, 14, 0, 5, 8, 14, 14, 0, 5, 8, 14, 14, 0, 5, 8, 14, 14, 0, 8, 14, 14, 8, 0, 8, 14, 14, 8, 0, 5, 8, 14, 8, 0, 5, 8, 14, 14, 0, 5, 8, 14, 14, 0]",2016
12,HOU,"[3, 8, 8, 2, 3, 8, 8, 2, 3, 8, 8, 2, 3, 8, 8, 2, 3, 8, 8, 2, 3, 8, 0, 2, 3, 8, 0, 2, 3, 8, 8, 2, 3, 8, 8, 2, 3, 8, 8, 2]",2016
13,IND,"[4, 2, 1, 6, 5, 4, 2, 1, 6, 5, 4, 2, 1, 6, 5, 4, 2, 1, 6, 5, 2, 7, 1, 6, 5, 2, 7, 1, 6, 5, 2, 7, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 4, 2, 1, 6, 5]",2016
