,Team,Features,Season
0,OKC,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
1,GSW,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
2,SAS,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
3,CLE,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
4,LAC,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
5,TOR,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
6,CHO,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
7,DET,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
8,POR,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
9,ATL,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
10,DAL,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
11,BOS,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
12,HOU,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
13,IND,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
14,UTA,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
15,WAS,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
16,MEM,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
