PLAYER,PASS_TO,PASS
"Allen, Ray","Cole, Norris",4.25
"Allen, Ray","Chalmers, Mario",2.5
"Allen, Ray","Beasley, Michael",0.05
"Allen, Ray","Haslem, Udonis",0.25
"Allen, Ray","Wade, Dwyane",3.85
"Allen, Ray","Bosh, Chris",2.1
"Allen, Ray","James, LeBron",5.7
"Allen, Ray","Battier, Shane",0.55
"Allen, Ray","Lewis, Rashard",1.45
"Lewis, Rashard","Cole, Norris",3.06
"Lewis, Rashard","Chalmers, Mario",4.61
"Lewis, Rashard","Wade, Dwyane",3.67
"Lewis, Rashard","Bosh, Chris",0.33
"Lewis, Rashard","James, LeBron",5.56
"Lewis, Rashard","Allen, Ray",1.39
"Battier, Shane","Cole, Norris",250.0
"Battier, Shane","Douglas, Toney",68.0
"Battier, Shane","Chalmers, Mario",552.0
"Battier, Shane","Beasley, Michael",13.0
"Battier, Shane","Haslem, Udonis",9.0
"Battier, Shane","Wade, Dwyane",173.0
"Battier, Shane","Bosh, Chris",121.0
"Battier, Shane","James, LeBron",388.0
"Battier, Shane","Lewis, Rashard",11.0
"Battier, Shane","Allen, Ray",127.0
"James, LeBron","Cole, Norris",494.0
"James, LeBron","Douglas, Toney",126.0
"James, LeBron","Chalmers, Mario",888.0
"James, LeBron","Beasley, Michael",116.0
"James, LeBron","Anthony, Joel",1.0
"James, LeBron","Haslem, Udonis",64.0
"James, LeBron","Wade, Dwyane",407.0
"James, LeBron","Bosh, Chris",676.0
"James, LeBron","James, LeBron",1.0
"James, LeBron","Battier, Shane",325.0
"James, LeBron","Lewis, Rashard",146.0
"James, LeBron","Allen, Ray",372.0
"Bosh, Chris","Cole, Norris",356.0
"Bosh, Chris","Douglas, Toney",67.0
"Bosh, Chris","Chalmers, Mario",809.0
"Bosh, Chris","Beasley, Michael",31.0
"Bosh, Chris","Anthony, Joel",1.0
"Bosh, Chris","Haslem, Udonis",36.0
"Bosh, Chris","Wade, Dwyane",358.0
"Bosh, Chris","James, LeBron",668.0
"Bosh, Chris","Battier, Shane",99.0
"Bosh, Chris","Lewis, Rashard",22.0
"Bosh, Chris","Allen, Ray",134.0
"Wade, Dwyane","Cole, Norris",256.0
"Wade, Dwyane","Douglas, Toney",13.0
"Wade, Dwyane","Chalmers, Mario",349.0
"Wade, Dwyane","Beasley, Michael",93.0
"Wade, Dwyane","Anthony, Joel",1.0
"Wade, Dwyane","Haslem, Udonis",34.0
"Wade, Dwyane","Wade, Dwyane",1.0
"Wade, Dwyane","Bosh, Chris",324.0
"Wade, Dwyane","James, LeBron",486.0
"Wade, Dwyane","Battier, Shane",124.0
"Wade, Dwyane","Lewis, Rashard",70.0
"Wade, Dwyane","Allen, Ray",179.0
"Haslem, Udonis","Cole, Norris",2.0
"Haslem, Udonis","Douglas, Toney",0.98
"Haslem, Udonis","Chalmers, Mario",3.62
"Haslem, Udonis","Beasley, Michael",0.18
"Haslem, Udonis","Wade, Dwyane",1.07
"Haslem, Udonis","Bosh, Chris",0.78
"Haslem, Udonis","James, LeBron",2.8
"Haslem, Udonis","Battier, Shane",0.18
"Haslem, Udonis","Lewis, Rashard",0.2
"Haslem, Udonis","Allen, Ray",0.56
"Anthony, Joel","Cole, Norris",0.32
"Anthony, Joel","Chalmers, Mario",0.14
"Anthony, Joel","Beasley, Michael",0.07
"Anthony, Joel","Wade, Dwyane",0.07
"Anthony, Joel","James, LeBron",0.07
"Anthony, Joel","Lewis, Rashard",0.07
"Beasley, Michael","Cole, Norris",5.73
"Beasley, Michael","Douglas, Toney",0.33
"Beasley, Michael","Chalmers, Mario",2.47
"Beasley, Michael","Anthony, Joel",0.04
"Beasley, Michael","Haslem, Udonis",0.25
"Beasley, Michael","Wade, Dwyane",1.87
"Beasley, Michael","Bosh, Chris",0.45
"Beasley, Michael","James, LeBron",2.04
"Beasley, Michael","Battier, Shane",0.2
"Beasley, Michael","Lewis, Rashard",0.51
"Beasley, Michael","Allen, Ray",1.18
"Chalmers, Mario","Cole, Norris",3.14
"Chalmers, Mario","Douglas, Toney",1.55
"Chalmers, Mario","Chalmers, Mario",0.01
"Chalmers, Mario","Beasley, Michael",1.66
"Chalmers, Mario","Anthony, Joel",0.01
"Chalmers, Mario","Haslem, Udonis",1.34
"Chalmers, Mario","Wade, Dwyane",7.86
"Chalmers, Mario","Bosh, Chris",10.04
"Chalmers, Mario","James, LeBron",16.4
"Chalmers, Mario","Battier, Shane",4.16
"Chalmers, Mario","Lewis, Rashard",1.25
"Chalmers, Mario","Allen, Ray",3.58
"Douglas, Toney","Cole, Norris",0.65
"Douglas, Toney","Chalmers, Mario",2.49
"Douglas, Toney","Beasley, Michael",0.45
"Douglas, Toney","Haslem, Udonis",0.94
"Douglas, Toney","Wade, Dwyane",0.47
"Douglas, Toney","Bosh, Chris",1.41
"Douglas, Toney","James, LeBron",3.14
"Douglas, Toney","Battier, Shane",1.06
"Douglas, Toney","Lewis, Rashard",0.35
"Douglas, Toney","Allen, Ray",0.37
"Cole, Norris","Douglas, Toney",39.0
"Cole, Norris","Chalmers, Mario",212.0
"Cole, Norris","Beasley, Michael",292.0
"Cole, Norris","Anthony, Joel",2.0
"Cole, Norris","Haslem, Udonis",36.0
"Cole, Norris","Wade, Dwyane",502.0
"Cole, Norris","Bosh, Chris",311.0
"Cole, Norris","James, LeBron",798.0
"Cole, Norris","Battier, Shane",143.0
"Cole, Norris","Lewis, Rashard",257.0
"Cole, Norris","Allen, Ray",399.0
