Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,J. Calderon|J. Crowder|L. James|K. Love|J. Smith,354:03:00,7.6,-1.4,-3.7,0.005,4.6,8.6,0.032,0.035,5.7,5,0.122,-3,-5.6,0.1,-5.6,-1.5,-3.4,-0.2,-0.6,-1,-1.7,-2.2
2,G. Hill|L. James|C. Osman|J. Smith|T. Thompson,103:42:00,-4.1,-2.5,1.9,-0.036,0.2,-0.4,0.012,-0.036,0.7,0.8,0.008,6.1,11.8,3.2,11.8,5,10.6,-10.8,-4.6,-1.6,5.7,1.5
3,J. Crowder|L. James|K. Love|J. Smith|I. Thomas,101:07:00,-21.2,-13.2,-6,-0.121,-1.2,9.9,-0.143,-0.123,6.4,7.2,0.031,-5.4,-14.8,-11.7,-14.8,-8.9,-19.4,-10.6,0.6,-2.8,-0.8,-2.6
4,J. Crowder|L. James|J. Smith|I. Thomas|T. Thompson,94:59:00,-26,-11.3,1.8,-0.14,-2.3,0.2,-0.07,-0.155,-1.2,-3.7,0.078,1.1,-1.7,-10.9,-1.7,-4.6,-12,-8.6,1.9,-4.7,-1.3,2.8
5,C. Frye|J. Green|L. James|K. Korver|D. Wade,86:47:00,24.5,9.5,2.4,0.098,1.7,6.1,-0.011,0.106,3.9,1.6,0.146,1.1,5,7.6,5,4.3,9.7,4.4,-2.2,-1.7,-1.8,-1.1
6,J. Crowder|L. James|K. Love|I. Shumpert|J. Smith,80:26:00,-13.1,-8.5,0.1,-0.095,2.3,6.4,0.002,-0.082,1.7,1.6,0.021,-1.4,-6.5,-7.6,-6.5,-4.6,-9.9,-6.5,0.1,0,-0.8,2.2
7,J. Crowder|L. James|K. Love|D. Rose|J. Smith,66:47:00,-19.2,-12.6,-4.4,-0.119,-9.9,-2.7,-0.293,-0.173,15.9,15.9,0.085,-1.4,-9.9,-11,-9.9,-6.1,-15.6,-17.7,4.2,0,-5.6,-2.2
8,C. Frye|J. Green|K. Korver|C. Osman|D. Wade,58:48:00,15.1,7.4,2.6,0.07,2.6,-7.1,0.166,0.082,-1.6,-4.6,0.107,-5.4,-9.5,3.9,-9.5,0,0,3.3,0.4,-1,0.7,0.4
9,G. Hill|R. Hood|L. James|L. Nance|J. Smith,56:36:00,1,3.1,-1,0.038,1,-0.6,0.041,0.044,-6.1,-6.1,-0.078,-8.9,-16.8,-6.6,-16.8,-7.6,-15.3,5.6,-0.1,-1.8,-5.3,0
10,J. Crowder|L. James|K. Love|J. Smith|D. Wade,54:32:00,-20.3,-12.5,-16,-0.052,-5.7,-5.1,-0.12,-0.073,10.3,16.9,-0.114,-7.8,-15.9,-5.2,-15.9,-7.2,-16.7,-5.3,-0.3,0.1,-2.2,-8.6
11,L. James|K. Love|J. Smith|I. Thomas|T. Thompson,53:31:00,2.9,0.8,-14.5,0.087,1.1,-4.7,0.08,0.105,0.2,2,-0.113,-2.5,-1,7.4,-1,2.7,6,-3.1,-6.4,0,10.1,-3.1
12,J. Clarkson|J. Green|R. Hood|K. Korver|L. Nance,49:09:00,2.7,4.4,-2.5,0.059,-0.7,-0.2,-0.019,0.057,-5.4,-9.9,0.085,-4.9,-5.7,3.7,-5.7,-1.5,-3.1,-2.5,3.6,4.4,-1.8,4.1
13,J. Green|L. James|K. Korver|K. Love|D. Wade,47:02:00,-4.8,-8.6,-10.9,-0.04,7.4,3.5,0.153,0.008,4,6.1,-0.041,-3.6,-9.4,-5.9,-9.4,-4.9,-10.8,-0.7,2.3,2.3,3,-0.5
14,L. James|K. Korver|K. Love|J. Smith|D. Wade,44:04:00,35.6,9.7,-8.2,0.149,3.7,4.2,0.06,0.176,12.5,16.4,0.065,1.7,10.9,17.2,10.9,7.6,15.6,0.7,-0.2,0.3,5,0
15,C. Frye|J. Green|K. Korver|J. Smith|D. Wade,43:43:00,7,1.9,-4,0.041,-0.7,0.4,-0.025,0.039,2.8,0.6,0.167,-7.6,-14.7,-4,-14.7,-5.2,-11.1,-4.5,3.1,-2.4,-2.7,-3.4
16,J. Green|L. James|K. Korver|T. Thompson|D. Wade,43:37:00,7.6,-2.2,-14.1,0.05,-5.4,-19.6,0.083,0.029,17.4,16.3,0.201,-4.3,-7,2.2,-7,-1.1,-2.5,-2.2,-3.3,3.3,4.3,-3.3
17,J. Green|K. Korver|C. Osman|T. Thompson|D. Wade,43:17:00,-12.4,-10.9,2.5,-0.134,-0.2,-7.3,0.075,-0.137,9.5,10.5,0.044,0.9,-2.2,-8.1,-2.2,-3.9,-8,-8.3,1.2,1.2,-2.5,-4.4
18,J. Green|L. James|K. Korver|K. Love|J. Smith,40:49:00,13.8,-1.8,6.5,-0.056,-5.3,0.9,-0.172,-0.092,22.6,17.4,0.324,4.9,10.2,3,10.2,3.8,8.8,-10.5,5.2,0.1,-9.1,-3.8
19,J. Crowder|L. James|K. Korver|K. Love|J. Smith,40:32:00,-6,-2.4,-10.7,0.028,6,14.3,0.028,0.073,-7.1,-10.7,0,-1.2,2.2,13.1,2.2,6,13.5,-8.3,-6,-1.2,15.5,2.4
20,J. Green|K. Korver|I. Thomas|T. Thompson|D. Wade,39:14:00,9.7,3.2,-8.7,0.073,-5.1,-14.1,-0.023,0.052,7.3,15.8,-0.087,2.3,8.3,9.2,8.3,5.6,10.8,-6.5,-3.7,0,7.3,-5.6
